"Turn ON/OFF SMSAPI","Turn ON/OFF SMSAPI"
"SMSAPI - SMS settings","SMSAPI - SMS settings"
"Token SMS API","Token SMS API"
"Enable for COMPLETE status","Enable for COMPLETE status"
"Text for COMPLETE status","Text for COMPLETE status"
"Enable for NEW status","Enable for NEW status"
"Text for NEW status","Text for NEW status"
"Enable for HOLDED status","Enable for HOLDED status"
"Text for HOLDED status","Text for HOLDED status"
"Enable for CANCELED status","Enable for CANCELED status"
"Text for CANCELED status","Text for CANCELED status"
"Studio IT - module settings","Studio IT - module settings"
