"Turn ON/OFF SMSAPI","Włącz/wyłącz moduł SMSAPI"
"SMSAPI - SMS settings","SMSAPI - ustawienia SMS"
"Token SMS API","Token SMS API"
"Enable for COMPLETE status","Włącz powiadomienia dla statusu COMPLETE"
"Text for COMPLETE status","Tekst SMS dla statusu COMPLETE"
"Enable for NEW status","Włącz powiadomienia dla statusu NEW"
"Text for NEW status","Tekst SMS dla statusu NEW"
"Enable for HOLDED status","Włącz powiadomienia dla statusu HOLDED"
"Text for HOLDED status","Tekst SMS dla statusu HOLDED"
"Enable for CANCELED status","Włącz powiadomienia dla statusu CANCELED"
"Text for CANCELED status","Tekst SMS dla statusu CANCELED"
"Studio IT - module settings","Studio IT - ustawienia modułów"
